comp_id;comp_name;country;city;level;date;format
BC2013CZE;14th Bohemia Cup;CZE;Otrokovice;IC;7.7.2013;IR1800F
SRH2013GER;Hausen Cup;GER;Hausen;IC;28.7.2013;IR1800
NC2013GER;German National Championship;GER;Hausen;NC;28.7.2013;IR900
CE2013AUT;City Cup of Innsbruck;AUT;Innsbruck;IC;3.9.2013;IR900
ECH2013AUT;11th IAU European Championships;AUT;Innsbruck;CCH;8.9.2013;IR1800F
NC2013AUT;Austrian National Championships;AUT;Stockerau;NC;29.9.2013;IR900
IC2013ESB;8th Europa Cup;CRO;Slavonski Brod;IC;13.10.2013;IR1200
IC2014GER;Eurocup Hannover;GER;Hannover;IC;9.3.2014;IR1200
NC2014FRA;French National Championships;FRA;Doullens;NC;15.6.2014;IR1800
AO2014AUT;5. Austria Open;AUT;Innsbruck;IC;22.6.2014;IR1800
NC2014BEL;Belgian National Championships;BEL;Brugge;NC;28.6.2014;IR900
CC2014IVA;19th Croatia Cup;CRO;Ivanic Grad;IC;29.6.2014;IR1800F
BC2014CZE;15th Bohemia Cup;CZE;Otrokovice;IC;6.7.2014;IR1800F
NC2014AUT;Austrian National Championships;AUT;Stockerau;NC;7.7.2014;IR900
NC2014GER;German National Championship;GER;Hannover;NC;26.7.2014;IR900
CE2014GER;Frankfurt Cup;GER;Frankfurt am Main;IC;5.8.2014;IR900
WCH2014GER;17th IAU World Championships;GER;Frankfurt am Main;WCH;10.8.2014;IR1800F
IC2014ESB;9th Europa Cup;CRO;Slavonski Brod;IC;12.10.2014;IR1200
AO2015AUT;6. Austria Open;AUT;Innsbruck;IC;7.6.2015;IR1800
NC2015FRA;French National Championships;FRA;Beaulieu;NC;14.6.2015;IR1800
CC2015IVA;20th Croatia Cup;CRO;Ivanic Grad;IC;21.6.2015;IR1800F
NC2015BEL;Belgian National Championships;BEL;Brugge;NC;3.7.2015;IR900
BC2015CZE;16th Bohemia Cup;CZE;Otrokovice;IC;5.7.2015;IR1800F
CE2015RUS;Baikal Cup;RUS;Ulan-Ude;IC;20.8.2015;IR900
WCH2015RUS;18th IAU World Championships;RUS;Ulan-Ude;WCH;24.8.2015;IR1800F
NC2015GER;German National Championship;GER;Munich;NC;7.9.2015;IR900
NC2015AUT;Austrian National Championships;AUT;Stockerau;NC;12.9.2015;IR900
IC2015ESB;10th Europa Cup;CRO;Slavonski Brod;IC;4.10.2015;IR1200
IC2016FRA;Nations Cup;FRA;Thaon-les-Vosges;IC;8.5.2016;IR1800F
NC2016FRA;French National Championships;FRA;Thaon-les-Vosges;NC;12.6.2016;IR1800
CC2016VTR;21st Croatia Cup;CRO;Veliko Trgovisce;IC;26.6.2016;IR1800F
AO2016AUT;7. Austria Open;AUT;Innsbruck;IC;29.6.2016;IR1800
NC2016BEL;Belgian National Championships;BEL;Brugge;NC;2.7.2016;IR900
CE2016SUI;Zurich Cup;SUI;Zurich;IC;10.7.2016;IR900
ECH2016SUI;12th IAU European Championships;SUI;Zurich;CCH;14.7.2016;IR1800F
BC2016CZE;17th Bohemia Cup;CZE;Otrokovice;IC;31.7.2016;IR1800F
NC2016GER;German National Championship;GER;Munich;NC;5.9.2016;IR900
IC2016ESB;11th Europa Cup;CRO;Slavonski Brod;IC;18.9.2016;IR1200
NC2016AUT;Austrian National Championships;AUT;Stockerau;NC;2.10.2016;IR900
SRH2017GER;Hausen Cup;GER;Hausen;IC;28.5.2017;IR1800
NC2017FRA;French National Championships;FRA;Antibes;NC;11.6.2017;IR1800
AO2017AUT;8. Austria Open;AUT;Innsbruck;IC;17.6.2017;IR1800
CC2017VTR;22nd Croatia Cup;CRO;Veliko Trgovisce;IC;25.6.2017;IR1800F
NC2017BEL;Belgian National Championships;BEL;Brugge;NC;1.7.2017;IR900
CE2017CRO;Osijek Cup;CRO;Osijek;IC;11.7.2017;IR900
WCH2017CRO;19th IAU World Championships;CRO;Osijek;WCH;16.7.2017;IR1800F
BC2017CZE;18th Bohemia Cup;CZE;Otrokovice;IC;30.7.2017;IR1800F
NC2017AUT;Austrian National Championships;AUT;Stockerau;NC;19.8.2017;IR900
NC2017GER;German National Championship;GER;Kronau;NC;9.9.2017;IR900
IC2017ESB;12th Europa Cup;CRO;Slavonski Brod;IC;1.10.2017;IR1200
SRH2018GER;Hausen Cup;GER;Hausen;IC;29.4.2018;IR1800
LT2018GRA;Austrian ECH Qualifiers;AUT;Graschnitz;LT;20.5.2018;IR1800
LT2018KOB;Austrian ECH Qualifiers;AUT;Koblach;LT;27.5.2018;IR1800
AO2018AUT;9. Austria Open;AUT;Innsbruck;IC;3.6.2018;IR1800
NC2018FRA;French National Championships;FRA;Arques;NC;10.6.2018;IR1800
CC2018VTR;23rd Croatia Cup;CRO;Veliko Trgovisce;IC;17.6.2018;IR1800F
WC2018CRO;IAU World Cup;CRO;Veliko Trgovisce;WC;17.6.2018;IR1800F
LT2018PLM;Outdoor Tournament;CZE;Plumlov;LT;1.7.2018;IR900
ECH2018EST;13th IAU European Championships;EST;Parnu;CCH;2.7.2018;IR1800F
NC2018BEL;Belgian National Championships;BEL;Brugge;NC;7.7.2018;IR900
BC2018CZE;19th Bohemia Cup;CZE;Otrokovice;IC;29.7.2018;IR1800F
WC2018CZE;IAU World Cup;CZE;Otrokovice;WC;29.7.2018;IR1800F
LT2018LTL;Outdoor Tournament;CZE;Litultovice;LT;11.8.2018;IR900
NC2018AUT;Austrian National Championships;AUT;Stockerau;NC;26.8.2018;IR900
NC2018GER;German National Championship;GER;Kronau;NC;15.9.2018;IR900
IC2018ESB;13th Europa Cup;CRO;Slavonski Brod;IC;13.10.2018;IR600
LT2019LTL;Outdoor Tournament;CZE;Litultovice;LT;27.4.2019;IR900
LT2019SHL;Outdoor Tournament;CZE;Suche Lazce;LT;18.5.2019;IR900
SRH2019GER;Hausen Cup;GER;Hausen;IC;26.5.2019;IR1800
LT2019GRA;Austrian WCH Qualifiers;AUT;Graschnitz;LT;31.5.2019;IR900
LT2019GRA2;Austrian WCH Qualifiers;AUT;Graschnitz;LT;1.6.2019;IR900
