athlete_id;athlete_name;country;club;gender;id_copy;instance
CRO00179;LASTOVICA Ivan Pavao;CRO;SK Pozega;;CRO00179;1
CRO00180;KELECIC Ivan;CRO;SK Pozega;;CRO00180;2
CRO00181;PISKAC Nika;CRO;SD Dubrava 1094;;CRO00181;1
CUB00001;LEYVA ALVAREZ Leiser;CUB;-;G;CUB00001;1
CZE00001;MIMRA Milan;CZE;-;G;CZE00001;1
CZE00002;ZDENEK Jiri st.;CZE;JC Ostrava;G;CZE00002;1
CZE00003;KRISTYNEK Vladimir;CZE;TJ Jiskra Otrokovice;G;CZE00003;1
CZE00004;KUBINEC Zdenek st.;CZE;TJ Opava;G;CZE00004;1
CZE00005;LAUER Stanislav;CZE;-;G;CZE00005;1
CZE00006;LOSERT Vaclav;CZE;TJ Opava;M;CZE00006;1
CZE00007;MEDEK Jaroslav;CZE;TJ Jiskra Otrokovice;M;CZE00007;1
CZE00008;KOPRIVA Jan st.;CZE;TJ Jiskra Otrokovice;M;CZE00008;1
CZE00009;KOPRIVA Jan ml.;CZE;TJ Jiskra Otrokovice;M;CZE00009;1
CZE00010;BOBEK Frantisek;CZE;TJ Jiskra Otrokovice;M;CZE00010;1
CZE00011;SLOVAK Roman;CZE;TJ Jiskra Otrokovice;M;CZE00011;1
CZE00012;DUFEK Jiri;CZE;TJ Jiskra Otrokovice;M;CZE00012;1
CZE00013;KORBAR Bohumil;CZE;SKSZ Plumlov;M;CZE00013;1
CZE00014;ZATECKY Ladislav;CZE;TJ Jiskra Otrokovice;M;CZE00014;1
CZE00015;KASZONYI Pavel;CZE;TJ Jiskra Otrokovice;M;CZE00015;1
CZE00016;KASZONYIOVA Aja;CZE;TJ Jiskra Otrokovice;W;CZE00016;1
CZE00017;ZATECKA Zuzana;CZE;TJ Jiskra Otrokovice;J;CZE00017;1
CZE00018;KUDLICKA Zbynek;CZE;TJ Opava;J;CZE00018;1
CZE00019;SKULA Pavel;CZE;TJ Jiskra Otrokovice;J;CZE00019;1
CZE00020;MYSICKA Zdenek;CZE;JC Ostrava;S;CZE00020;1
CZE00021;JELINEK Milan;CZE;Hradec Kralove Sveti;S;CZE00021;1
CZE00022;SEDLACEK Frantisek;CZE;Savana KKK;S;CZE00022;1
CZE00023;GAMANOVA Katerina;CZE;JC Ostrava;W;CZE00023;1
CZE00024;SLOVAKOVA Jana;CZE;TJ Opava;W;CZE00024;1
CZE00025;KREISINGER Adam;CZE;-;J;CZE00025;1
CZE00026;LHOTSKY Dalibor;CZE;TJ Opava;M;CZE00026;1
CZE00027;NEDELNIKOVA Jaroslava;CZE;Savana KKK;W;CZE00027;1
CZE00028;NEDELNIK Jan;CZE;Savana KKK;C;CZE00028;1
CZE00029;KUBESOVA Sabina;CZE;SKPK Suche Lazce;J;CZE00029;1
CZE00030;NEDELNIKOVA Hana;CZE;Savana KKK;J;CZE00030;1
CZE00031;NEDELNIK Josef;CZE;Savana KKK;M;CZE00031;1
CZE00032;KUBESA Oldrich;CZE;SKPK Suche Lazce;S;CZE00032;1
CZE00033;STETKAROVA Katerina;CZE;TJ Jiskra Otrokovice;W;CZE00033;1
CZE00034;ANDRES Lukas;CZE;Savana KKK;C;CZE00034;1
CZE00035;SILHANOVA Jana;CZE;TJ Jiskra Otrokovice;J;CZE00035;1
CZE00036;JANDA Zdenek;CZE;TJ Jiskra Otrokovice;S;CZE00036;1
CZE00037;KREJCA Jan;CZE;TJ Jiskra Otrokovice;J;CZE00037;1
